STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
10,1,40100,1400000US10001040100,10001040100,401.0,Kent,DE,Delaware,"Census Tract 401, Kent County, Delaware",7078.0,467.0,2231.0,1.7444,0.7287,1.1444,0.6262,0.6451,0.3548,0.279,0.248,1.5269,0.3493,0.9205,0.0,0.0,0.0,0.0,0.0,0.9205,0.5808,1.0,0.1886,0.964,2.1526,0.8952,0.4336,0.2154,0.8692,1.5182,0.7553,0.5759,0.5759,0.5759,6.6941,0.6685,0.3141,0.3141,0.3141,0.3208,0.7197,0.6286,0.1676,0.2702,0.5478,0.4692,3.1239,0.4192,0.4335,0.6511,0.6111,0.6526,2.3483,0.7769,0.9003,0.0,0.9003,0.5611,6.6866,0.4759,0.0,1.0,0.0,1.0,1.0,3.0,0.6,1.67,8.45,0.25,25.31,0.2,0.0,0.0,0.0,0.0,0.0,0.0,31.12,3.44,23.27,4.94,1.06,60.38,16.2,21.2799,16.0,5.9,14.5,19.9849,7.8,15.6,14.6,24.2,14.2,2.8,20.6,0.0,33.6,10.8,6.9,16.3,12.6,0.5994,0.7575,0.5402,0.7032,0.7418
10,1,40201,1400000US10001040201,10001040201,402.01,Kent,DE,Delaware,"Census Tract 402.01, Kent County, Delaware",4736.0,413.0,7933.0,1.7547,0.7327,1.3547,0.7595,0.6451,0.3674,0.3551,0.2773,1.6449,0.4026,0.9759,0.7693,0.0,0.9139,0.0,0.0,2.6591,0.9579,1.0,0.2968,0.387,1.6838,0.6022,0.6841,0.2422,0.8951,1.8214,0.9268,0.4015,0.4015,0.4015,8.2107,0.9087,0.5487,0.5487,0.5487,0.4647,0.4533,0.5844,0.5574,0.6686,0.4474,0.2068,3.3826,0.4772,0.3053,0.8387,0.6885,0.0,1.8325,0.3495,0.7378,0.0,0.7378,0.4333,6.5016,0.446,0.0,1.0,0.0,1.0,0.0,2.0,0.4,1.67,8.51,0.3,26.04,41.49,82.97,0.0,58.37,0.0,0.0,0.0,43.48,11.17,81.25,8.57,4.33,33.23,34.3,28.1512,8.9,5.5,35.3,32.0838,6.3,8.5,12.4,27.8,15.5,0.0,6.9,0.0,31.3,10.5,6.1,15.5,10.9,0.4642,0.6964,0.3665,0.5229,0.6678
10,1,40202,1400000US10001040202,10001040202,402.02,Kent,DE,Delaware,"Census Tract 402.02, Kent County, Delaware",16940.0,915.0,10853.0,1.5725,0.6553,1.3725,0.7695,0.6074,0.3609,0.3399,0.2838,1.592,0.3776,0.9657,0.5709,0.0,0.7001,0.0,0.0,2.2367,0.9198,1.0,0.1116,0.5614,1.673,0.5936,0.66,0.3787,0.9145,1.9532,0.9398,0.4497,0.4497,0.4497,7.9046,0.8727,0.5798,0.5798,0.5798,0.3672,0.4784,0.3739,0.156,0.4553,0.4251,0.2286,2.4845,0.2854,0.5259,0.7467,0.5651,0.3749,2.2126,0.678,0.7683,0.7865,1.5548,0.9048,6.8317,0.4998,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.33,8.48,0.29,26.2,24.5,27.31,0.0,2.99,0.0,0.0,0.0,19.34,8.33,74.95,28.15,9.22,40.08,37.3,23.5269,9.4,3.9,13.9,24.9159,6.0,9.1,16.1,25.8,13.5,0.7,8.7,2.0,34.5,10.3,7.2,14.1,12.3,0.65,0.6494,0.6113,0.6756,0.5153
10,1,40203,1400000US10001040203,10001040203,402.03,Kent,DE,Delaware,"Census Tract 402.03, Kent County, Delaware",5443.0,427.0,6065.0,1.5762,0.6569,1.1762,0.6476,0.6773,0.3674,0.3399,0.2894,1.674,0.4161,0.9193,0.4501,0.0,0.0,0.0,0.0,1.3694,0.708,0.6384,0.114,0.6794,1.4318,0.3786,0.2546,0.3791,0.9286,1.5623,0.8889,0.5939,0.5939,0.5939,6.6314,0.6552,0.6456,0.6456,0.6456,0.5784,0.2203,0.0712,0.3494,0.6865,0.7998,0.1886,2.8942,0.3696,0.7472,0.6577,0.4175,0.399,2.2214,0.6849,0.8156,0.3832,1.1988,0.7319,6.96,0.521,0.0,1.0,0.0,0.0,1.0,2.0,0.4,2.0,8.51,0.29,26.34,0.12,8.44,0.0,0.0,0.0,0.0,37.29,19.78,7.0,0.24,28.22,15.19,63.47,45.1,33.9598,4.8,1.6,23.2,32.7861,13.5,8.0,20.0,24.3,11.4,0.8,12.0,0.1,34.6,10.6,6.7,14.9,12.6,0.6552,0.718,0.4939,0.7032,0.6058
10,1,40501,1400000US10001040501,10001040501,405.01,Kent,DE,Delaware,"Census Tract 405.01, Kent County, Delaware",4501.0,470.0,9435.0,2.2791,0.9016,1.6791,0.9163,0.6074,0.3495,0.4987,0.3022,1.7578,0.4516,0.9622,0.7404,0.9336,0.8397,0.0,0.0,3.4759,0.9927,0.6891,0.4339,0.2587,1.3817,0.3306,0.5407,0.7666,0.8966,2.2039,0.9651,0.4618,0.4618,0.4618,9.2811,0.9765,0.7313,0.7313,0.7313,0.617,0.6687,0.7466,0.5006,0.811,0.3021,0.4441,4.0901,0.6327,0.6796,0.3854,0.7396,0.6454,2.45,0.8383,0.827,0.0,0.827,0.4978,8.0984,0.7026,1.0,1.0,0.0,0.0,1.0,3.0,0.6,1.33,8.42,0.4,26.65,20.41,74.5,5.62,25.6,0.0,0.0,23.62,55.85,13.08,44.3,100.0,4.6,41.98,57.4,36.0832,14.2,7.3,31.6,38.9804,4.5,14.9,18.7,20.5,16.5,2.7,12.9,0.0,37.7,10.8,7.0,14.5,14.2,0.7925,0.7575,0.5632,0.8189,0.5611
10,1,40502,1400000US10001040502,10001040502,405.02,Kent,DE,Delaware,"Census Tract 405.02, Kent County, Delaware",2402.0,199.0,685.0,2.3759,0.9262,1.5759,0.8726,0.6074,0.3513,0.4441,0.2968,1.6996,0.4276,0.9443,0.5245,0.0,0.78,0.0,0.0,2.2488,0.9206,0.7986,0.1344,0.8644,1.7974,0.685,0.2618,0.5067,0.92,1.6885,0.9074,0.43,0.43,0.43,7.8643,0.8677,0.6751,0.6751,0.6751,0.6469,0.6861,0.3443,0.3871,0.736,0.4752,0.3669,3.6425,0.535,0.8796,0.6577,0.8351,0.5938,2.9662,0.9864,0.8516,0.0,0.8516,0.5169,8.1354,0.7082,1.0,1.0,1.0,0.0,1.0,4.0,0.8,1.33,8.43,0.36,26.53,5.92,18.58,0.0,11.05,0.0,0.0,4.55,23.29,4.92,0.64,52.83,11.22,37.06,49.0,37.8491,14.8,3.7,25.1,35.0265,6.7,12.8,23.8,24.3,18.8,2.1,15.2,0.0,42.3,10.6,9.7,14.0,16.8,0.9077,0.718,0.9619,0.9201,0.5033
10,1,40700,1400000US10001040700,10001040700,407.0,Kent,DE,Delaware,"Census Tract 407, Kent County, Delaware",4908.0,1004.0,3724.0,2.5109,0.9582,1.7109,0.9292,0.6074,0.3457,0.4441,0.3133,1.7105,0.4321,0.9277,0.7524,0.9697,0.6977,0.0,0.0,3.3475,0.9907,0.7497,0.2772,0.4598,1.4867,0.4312,0.6612,0.4557,0.0,1.1169,0.5366,0.5948,0.5948,0.5948,8.2564,0.9131,0.7169,0.7169,0.7169,0.7585,0.5681,0.7397,0.6172,0.725,0.2588,0.4366,4.1039,0.6354,0.8647,0.1796,0.7848,0.6377,2.4668,0.847,0.6497,0.8396,1.4893,0.8727,8.7769,0.7978,1.0,1.0,1.0,0.0,1.0,4.0,0.8,1.33,8.4,0.36,26.92,1.09,78.04999999999998,38.57,2.86,0.0,0.0,11.3,41.5,9.78,75.23999999999998,42.28,0.0,63.58,55.1,45.1963,11.4,7.2,39.7,34.5104,4.0,14.7,23.2,16.7,17.5,2.6,3.0,2.9,37.1,10.5,8.3,13.6,14.5,0.7697,0.6964,0.8508,0.8353,0.4553
10,1,40900,1400000US10001040900,10001040900,409.0,Kent,DE,Delaware,"Census Tract 409, Kent County, Delaware",2646.0,323.0,3681.0,1.7091,0.714,1.3091,0.7332,0.6074,0.34,0.5868,0.3706,1.9048,0.5145,0.9826,0.8245,0.0,0.0,0.0,0.0,1.8071,0.8655,0.3853,0.4564,0.0196,0.8613,0.0446,0.7498,0.7666,0.0,1.5164,0.7541,0.5948,0.5948,0.5948,6.6844,0.6663,0.6082,0.6082,0.6082,0.7102,0.7005,0.1003,0.8911,0.6858,0.1227,0.8635,4.0741,0.6294,0.8176,0.0451,0.933,0.2502,2.0459,0.5351,0.0,0.9838,0.9838,0.6507,7.712,0.6428,0.0,1.0,1.0,0.0,0.0,2.0,0.4,1.33,8.37,0.47,28.24,56.87,96.74,0.0,0.0,0.0,0.0,100.0,57.78,17.0,96.24,100.0,0.0,63.58,40.4,41.8014,15.3,1.9,69.3,32.7663,2.4,31.0,21.7,8.8,22.8,0.3,0.0,34.8,33.1,10.6,7.8,15.3,11.9,0.5714,0.718,0.7565,0.6363,0.6465
10,1,41000,1400000US10001041000,10001041000,410.0,Kent,DE,Delaware,"Census Tract 410, Kent County, Delaware",6559.0,547.0,8788.0,2.6615,0.9865,1.8615,0.9803,0.6074,0.3359,0.4853,0.3287,1.7573,0.4514,0.9378,0.6098,0.9237,0.8039,0.0,0.0,3.2752,0.99,0.5974,0.3281,0.3534,1.2789,0.2436,0.2493,0.48,0.897,1.6263,0.8981,0.4672,0.4672,0.4672,8.4049,0.9265,0.76,0.76,0.76,0.7624,0.7397,0.6849,0.7492,0.8186,0.584,0.5315,4.8703,0.7823,0.4461,0.7072,0.8913,0.7316,2.7762,0.9586,0.8632,0.7007,1.5639,0.9096,9.9704,0.935,1.0,1.0,0.0,1.0,1.0,4.0,0.8,1.33,8.35,0.39,27.3,3.61,36.8,2.59,15.81,0.0,0.0,49.93,46.43,11.75,0.06,47.23,4.67,42.84,62.3,45.4895,16.8,6.5,51.2,39.4268,8.4,17.4,14.8,25.1,20.7,4.2,16.3,1.1,35.8,11.5,6.2,16.9,14.2,0.7141,0.8594,0.3868,0.8189,0.7899
10,1,41100,1400000US10001041100,10001041100,411.0,Kent,DE,Delaware,"Census Tract 411, Kent County, Delaware",3920.0,389.0,4490.0,1.3568,0.5534,1.1568,0.6345,0.6074,0.3273,0.4723,0.3298,1.7368,0.4426,0.9822,0.677,0.9729,0.0,0.0,0.0,2.6321,0.9543,0.5973,0.0442,0.5401,1.1816,0.173,0.0,0.6281,0.0,0.6281,0.2322,0.5026,0.5026,0.5026,6.6812,0.6655,0.5137,0.5137,0.5137,0.7289,0.0877,0.6674,0.9946,0.997,0.0142,0.0065,3.4963,0.5031,0.007,0.9178,0.0859,0.3491,1.3598,0.0959,0.4769,0.9349,1.4118,0.8308,6.7816,0.4913,0.0,0.0,0.0,1.0,0.0,1.0,0.2,1.33,8.3,0.38,27.33,55.58,55.23,43.97,0.0,0.0,0.0,49.97,6.49,8.58,0.0,80.18,0.0,48.31,31.1,43.0939,2.5,6.3,99.8,67.92,0.6,0.9,1.1,30.5,6.3,0.6,0.6,7.7,13.2,10.1,1.8,18.0,3.2,0.0053,0.5987,0.0064,0.0057,0.8594
