Site Number,Date,DERAP Version,Basin,HGM Class,HGM Sub-class,LLWW,Stream Order,Classification,Purpose,Watershed,Sub-watershed,AA size and Shape,AA moved?,Forest Age >50 years,Hfor50,Hfor30,Hfor15,Hfor2-1,Harvesting w/in 50yrs,Hfor50-2,Hfor30-2,Hfor15-2,Hfor2-2,Hforcc,Hnorecov,Hfor10,Hcc10,Hcc50,Hcc100,Hforsc,Harvest > 50% recovered,Harvest > 50% recovering,Harvest > 50% recent,Harvest > 50% clear no recov,% AA forested,BAF (10),Hpine,Hchem,Hmow,Hfarm,Hgraz,Hinv1,Hinv5,Hinv50,Hinv100,Hinvless,Hinvdom,Hherb,Hburn,Hgarb,Hnutapp (a),Hnutapp (b),Halgae,Hnis100,Hnis50,Htrail-2,Htrail,Hrdlog,Hroad or Hrdgrav,Hpave or Hrdpav,Wditchs,Wditchm,Wditchx,Wditchfloodplain,Wchannm,Wchan1,Wchan2,Wchan1-2,Wchan2-2,Wincision,Wdamdec,Wimp10,Wimp75,Wimp100,% site perm flood,% site inundated,Wstorm,Wpoint,Wsedchan,Wsed or Wsedwet,Wfill10,Wfill75,Wfill100,Wmic10,Wmic75,Wmic100,Wsubsid,Road-impeding flow,Road-not impeding flow,Wtidres,Sed dep,Soil change < 10%,Soil change 10-75%,Soil change >75%,Eroding banks/slopes,Nutrients-ag,Nutrients-sew,Nutrients-fert,Ldevcom,Ldevres3,Ldevres2,Ldevres1,Ldevres1-2,Lsew,Lsept,Ltrail,Lrdgrav,Lrd2pav,Lrd4pav,Stormdrain,Llndfil,Direct runoff/erosion,Lchan,Lagrow,Lagorch,Lag,Lagpoul,Lfor,Ldock,Lmoor,Hydro-sev,Hydro-mod,Hydro-sl,Lgolf,Lmow,Lmine,QCR,QDR,Total Score
APPO3302,07/09/2015,6,Delaware Bay,Riverine,Riv- Upper Per,LS1FLTHhw,1,Natural,Assessment,Appoquinimink River,Appoquinimink River,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,75,50,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,true,,,,,false,false,false,,false,,false,,,false,false,false,,,,,,true,true,false,,3,88
APPO3303,08/18/2015,6,Delaware Bay,Flat,Flat-mineral,TEFLIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,120,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,2,92
APPO3304,06/08/2015,6,Delaware Bay,Flat,Flat-Organic,TEBAIS,1,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,80,false,false,false,false,false,false,true,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,26-50,>75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,true,false,false,false,,,,,true,false,false,,false,,false,,,false,false,false,,,,,,false,false,false,,3,89
APPO3306,08/10/2015,6,Delaware Bay,Riverine,Riv- Lower Per,LE2BATH,,Natural,Assessment,Appoquinimink River,Blackbird Creek,20x100m rectangle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,80,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,3,90
APPO3307,06/17/2015,6,Delaware Bay,Flat,Flat-mineral,TEBAOUhw,,Natural,Assessment,Appoquinimink River,Blackbird Creek,20m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,70,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,26-50,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,false,false,false,,,,,,false,false,false,,2,95
APPO3308,06/08/2015,6,Delaware Bay,Depression,Dep-Organic,LS1FLTHhw,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,70,70,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,51-75,>75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,true,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,3,74
APPO3310,08/03/2015,6,Delaware Bay,Riverine,Riv- Upper Per,TEFLOUhw,1,Natural,Assessment,Appoquinimink River,Appoqiunimick River,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,95,90,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,true,,,false,false,false,,,,,,false,true,false,,2,89
APPO3314,07/29/2015,6,Delaware Bay,Riverine,Riv- Upper Per,LS1BATHhw,1,Natural,Assessment,Appoquinimink River,Appoquinimink River,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,60,0,false,false,false,false,false,false,false,false,true,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,51-75,>75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,4,70
APPO3315,06/16/2015,6,Delaware Bay,Flat,Flat-mineral,TEFLIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,85,110,false,false,true,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,false,false,false,,,,,,false,true,false,,3,77
APPO3316,07/29/2015,6,Delaware Bay,Depression,Dep-Mineral,TEFLOUhw,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,95,110,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,true,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,true,,,,,true,false,false,,false,,false,,,false,false,false,,,,,,false,false,false,,2,69
