Site Number,Date,MidTRAM Version,Watershed,Sub-watershed,AA moved?,Reason for moving,Classification,Purpose,Marsh type,Tide stage,Water on surface (cm),Marsh community,Distance to upland (m),Distance to open water (m),Salinity (ppt),Unveg/mud/sand,Spartina alterniflora,Spartina cynosuroides,Schoenoplectus americanus,Spartina patens/Distichlis spicata,Phragmites australis,Iva frutescens,Juncus roemerianus,Spartina alterniflora/Spartina cynosuroides,root mat,pannes/pools/creeks,open water,ditches,unhealthy marsh,Spartina patens,Distichlis spicata,Salicornia virginica,Other1%,Other1,Other2%,Other2,Other3%,Other3,Other4%,Other4,Other5%,Other5,Other6%,Other6,Other7%,Other7,Other8%,Other8,Other9%,Other9,Other10%,Other10,Other11%,Other11,Other12%,Other12,Other13%,Other13,Other14%,Other14,Depth of organic layer (cm),Stability of AA,B1: Estimated % with 5m-buffer,B1: % with 5m-buffer rating,B1: Estimated % with 10m-buffer,B1: % with 10m-buffer rating,B2: Avg. buffer width,B2: Avg. buffer width rating,B2: % natural land uses in buffer,B2: % natural land uses in buffer rating,B3: % surrounding development,B3: Surrounding development rating,B3: Altered/high impact land use % unnatural,B3: Altered/high impact land use % high impact,B3: Altered/high impact land use rating,B4: 250m landscape condition,B5: Marsh habitat richness # of communities,B5: Marsh habitat richness rating,B5/6: Barriers to landward migration % perimeter obstructed,B5/6: Barriers to landward migration rating,H1: Ditching & draining rating,H1: Ditching & excavation (OMWM) rating,H1b:Point sources tidal fresh rating,H2: Estimate % fill,H2: Fill rating,H3: Diking & restriction rating,H4: Point source rating,H4: Docks/duck blinds rating,HAB1: Structural patch type # patches,HAB1: Structural patch type rating,HAB1/2:Bear cap:final-intial avg.,HAB1/2:Bear cap: hollows present?,HAB1/2:Bear cap % hollows,HAB1/2:Bear cap rating,HAB2: Horizontal veg obs avg. 4 subplot totals,HAB2: Horizontal veg obs % obs,HAB2: Horizontal veg obs rating,HAB3: Plant fragments rating,HAB3/5: # plant layers,HAB3/5: # plant layers rating,HAB4: Vertical biotic structure rating,HAB4/6: % invasive co-dominant species,HAB4/6: % invasive co-dominant species rating,HAB4: Species richness count,HAB4: Species richness rating,HAB5/7: % invasive,HAB5/7: % invasive rating,Buffer attribute score,Hydro attribute score,Habitat attribute score,QDR,Final score,Condition category
BRT001,07/19/2010,3.0,Broadkill,Beaverdam Creek,false,,Expansive Estuarine Tidal Fringe,Assessment,Natural,2,,Low Marsh,255,248,30,2.5,88.5,0,0,0,0,0,0,0,88.5,0,0,2.5,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy & Stable,100,12,,,250.0,12,,,0,12,,,,9,,,0.0,12,6,,,0,12,12,12,,,,4.75,true,12,6,11.25,,9,,2,9,,0,12,,,0,12,93.30,83.30,73.30,2,83.30,Minimally stressed
BRT002,08/26/2010,3.0,Broadkill,Primehook Creek,true,"Navigation, rectangle 100x80m",Fresh Tidal scrub shrub,Assessment,Natural,,,,57,18,2,0,0,0,0,0,0,0,0,0,88.5,0,15,0,0,0,0,,88,Scrub/Shrub (Acer sp./ ferns/ Pinus serotina),,,,,,,,,,,,,,,,,,,,,,,,,,,>20,Healthy & Stable,95,9,,,77.0,6,,,3,9,,,,9,,,0.0,12,12,,,2,6,9,12,,,,0.00,false,,,,,,,2,9,,0,12,,,0,12,66.70,75.00,88.88,3,76.86,moderately stressed
BRT003,07/16/2010,3.0,Broadkill,Beaverdam Creek,false,,Expansive Estuarine Tidal Fringe,Assessment,Natural,3,,High Marsh,30,98,10,0.5,15.5,0,2.5,0,0.5,2.5,0,0,88.5,0,0,0.5,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy & Stable,100,12,,,185.0,9,,,1.5,9,,,,6,,,0.0,12,6,,,0,12,12,12,,,,2.59,false,,9,12.50,,6,,3,9,,0,12,,,1,9,73.30,83.30,66.70,4,74.40,moderately stressed
BRT004,07/16/2010,3.0,Broadkill,Beaverdam Creek,false,,Expansive Estuarine Tidal Fringe,Assessment,Natural,2,,Low Marsh,105,275,18,2.5,15.5,0,0.5,0.5,0.5,0,0,0,88.5,0,0,2.5,0,2.5,0,,2.5,Iva frutescens/Spartina alterniflora,,,,,,,,,,,,,,,,,,,,,,,,,,,>52,Healthy & Stable,100,12,,,208.0,12,,,0,12,,,,9,,,0.0,12,6,,,0,12,12,12,,,,1.50,true,12,12,14.75,,6,,3,9,,0,12,,,3,9,93.30,83.30,73.30,3,83.30,Minimally stressed
BRT005,07/28/2010,3.0,Broadkill,Canary Creek,true,To Avoid Upland,Expansive Estuarine Tidal Fringe,Assessment,Natural,4,,Low Marsh,1089,480,40,38,63,0,0,2.5,2.5,0,0,0,88.5,38,0,2.5,15.5,0,0,,2.5,Iva frutescens/Baccharis halimifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Beginning to deteriorate and/or some fragmentation,100,12,,,250.0,12,,,0,12,,,,6,,,0.0,12,3,,,0,12,12,12,,,,2.63,true,15,9,22.25,,3,,3,9,,20,9,,,5,9,86.66,75.00,53.30,4,71.66,moderately stressed
BRT007,08/03/2010,3.0,Broadkill,Beaverdam Creek,false,,Expansive Estuarine Tidal Fringe,Assessment,Natural,2,,Low Marsh,246,198,10,2.5,15.5,0,0,15.5,0,0,0,0,88.5,0,0,2.5,0,38,0,,2.5,Schoenoplectus sp.,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,26,Healthy & Stable,100,12,,,244.0,12,,,0,12,,,,9,,,0.0,12,3,,,0,12,12,12,,,,1.28,false,,12,20.00,,6,,2,9,,0,12,,,0,12,93.30,75.00,80.00,2,82.77,Minimally stressed
BRT008,08/03/2010,3.0,Broadkill,Beaverdam Creek,true,To fit criteria,Fringing Estuarine Tidal Fringe,Assessment,Natural,2,,High Marsh,93,17,30,0.5,0.5,0,0,0,88.5,0,0,0,88.5,0,0,0,63,0,0,,15.5,Dichanthelium sp.,15.5,Setaria faberi,,,,,,,,,,,,,,,,,,,,,,,,,"29 by river, 0 at center point",Beginning to deteriorate and/or some fragmentation,100,12,,,104.0,6,,,4.9,9,,,,3,,,40.0,3,12,,,0,12,6,12,,,,1.03,false,,12,10.25,,9,,2,9,,67,3,,,78,3,40.00,83.33,46.66,5,56.60,severely stressed
BRT009,07/28/2010,3.0,Broadkill,Canary Creek,true,Couldn’t Cross Channel,Expansive Estuarine Tidal Fringe,Assessment,Natural,4,,Low Marsh,1077,113,20,0.5,88.5,0,0,0,0,0,0,0,88.5,15.5,0,2.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Healthy & Stable,100,12,,,208.0,12,,,0,12,,,,9,,,0.0,12,6,,,0,12,12,12,,,,1.72,false,,12,18.50,,6,,2,9,,0,12,,,0,12,93.30,83.30,80.00,3,85.55,Minimally stressed
BRT011,07/28/2010,3.0,Broadkill,Beaverdam Creek,true,To Avoid Stream/Channel,Expansive Estuarine Tidal Fringe,Assessment,Natural,2,,Low Marsh,547,389,30,15.5,88.5,0,0,15.5,0,0,0,0,88.5,15.5,0,2.5,0,0,0,,2.5,Schoeneplectus americanus/ Spartina alterniflora,,,,,,,,,,,,,,,,,,,,,,,,,,,24,Healthy & Stable,100,12,,,250.0,12,,,0,12,,,,9,,,0.0,12,9,,,0,12,12,12,,,,1.81,false,,12,20.00,,6,,3,9,,0,12,,,0,12,93.30,91.66,80.00,2,88.33,Minimally stressed
BRT012,07/23/2010,3.0,Broadkill,Canary Creek,true,Moved 28m to Avoid Upland,Expansive Estuarine Tidal Fringe,Assessment,Natural,4,,Low Marsh,0,420,30,2.5,15.5,0,0,0.5,0.5,0,0,0,63,0.5,0,2.5,2.5,2.5,0,,15.5,Spartina alterniflora/Spartina patens,,,,,,,,,,,,,,,,,,,,,,,,,,,>28,Healthy & Stable,100,12,,,230.0,12,,,1.5,9,,,,9,,,0.0,12,9,,,0,12,12,12,,,,2.22,true,20,9,15.50,,6,,2,9,,0,12,,,3,9,86.66,91.66,66.66,3,81.66,Minimally stressed
