Station,ID,Address,Date,TSS,DO,P,ENT,Sal,Temp,pH,CHL_A,N
Cow Bridge Branch ,308281, Zoar Rd. (Rd. 48),11/28/2023 4:08,3.6,9.84,0.03,41,0.05,7.7,6.3,5.32,1.41
308281,Indian River Inlet ,,,,,,,,,,,
Indian River Inlet ,306321, Coast Guard Station,11/28/2023 8:08,22.3,8.72,0.03,5,34.83,10.6,7.7,5.12,0.25
306321,Little Assawoman Bay Mid-Bay (Ocean Park Lane),,,,,,,,,,,
Little Assawoman Bay Mid-Bay (Ocean Park Lane),310071,,11/28/2023 8:34,8.9,10.04,0.03,20,27.31,6.8,7.5,7.7,0.38
310071,Little Assawoman Bay ,,,,,,,,,,,
Little Assawoman Bay ,310011, Rt. 54 (The Ditch),11/28/2023 8:49,7,9.8,0,5,28.66,8,7.6,7.03,0.32
310011,Buntings Branch ,,,,,,,,,,,
Buntings Branch ,311041, Fenwick Rd. (Rt. 54),11/28/2023 9:01,1.6,10.55,0.04,198,0.13,6.6,6.6,1.37,4.58
311041,Dirickson Creek ,,,,,,,,,,,
Dirickson Creek ,310031, Old Mill Bridge Rd. (Rd. 381),11/28/2023 9:09,8.8,10.76,0.01,160,16.01,8,7.5,63.5,1.3
310031,Beaver Dam Ditch ,,,,,,,,,,,
Beaver Dam Ditch ,310121, Beaver Dam Rd. (Rd. 368),11/28/2023 9:22,14.7,10.59,0.05,83,0.5,6.6,7.1,10.6,1.64
310121,Pepper Creek ,,,,,,,,,,,
Pepper Creek ,308091, Main St. (Rt. 26),11/28/2023 9:25,4.5,10.82,0.06,139,0.11,7.4,6.5,0.92,2.84
308091,Whartons Branch ,,,,,,,,,,,
Whartons Branch ,309041, Dagsboro Rd. (Rt. 20),11/28/2023 9:40,6.8,11.07,0.03,197,0.11,7.5,6.4,1.54,4.34
309041,Blackwater Creek ,,,,,,,,,,,
