Nitrogen_Station,HUC_Watershed_1,HUC_Watershed_2,HUC_Watershed_3,HUC_Watershed_4,HUC_Watershed_5,HUC_Watershed_6,HUC_Watershed_7,HUC_Watershed_8,HUC_Watershed_9,HUC_Watershed_10,HUC_Watershed_11,HUC_Watershed_12
Cow Bridge Branch  , Cow Bridge Branch-Indian River,,,,,,,,,,,
Indian River Inlet  , Indian River Bay-Indian River Inlet,,,,,,,,,,,
Little Assawoman Bay Mid-Bay (Ocean Park Lane) , Assawoman Bay,,,,,,,,,,,
Little Assawoman Bay  , Little Assawoman Bay,,,,,,,,,,,
Buntings Branch  ,,,,,,,,,,,,
Dirickson Creek ,,,,,,,,,,,,
Beaver Dam Ditch  , Beaverdam Creek-Broadkill River,,,,,,,,,,,
Pepper Creek ,,,,,,,,,,,,
Whartons Branch ,,,,,,,,,,,,
Blackwater Creek  , Buttons Creek-Blackwater River, Little Blackwater River, Coles Creek-Blackwater River,,,,,,,,,
Millsboro Pond  ,,,,,,,,,,,,
White Creek  , Lower White Clay Creek,White Creek-Indian River Bay,,,,,,,,,,
Swan Creek  , Swan Creek-Indian River,Swan Creek-Upper Chesapeake Bay,,,,,,,,,,
Guinea Creek        ,,,,,,,,,,,,
Burton Pond  ,,,,,,,,,,,,
Bundicks Branch  ,,,,,,,,,,,,
Rehoboth Bay  , Herring Creek-Rehoboth Bay,Love Creek-Rehoboth Bay, Wolfe Glade-Rehoboth Canal, Rehoboth Canal-Rehoboth Bay, Lewes & Rehoboth Canal , ,,,,,,
Massey Ditch  ,,,,,,,,,,,,
Indian River Bay  , Indian River Bay-Indian River Inlet,,,,,,,,,,,
Indian River  , Vines Creek-Indian River,  Cow Bridge Branch-Indian River, Swan Creek-Indian River,,,,,,,,,
Island Creek upper third , Island Creek,,,,,,,,,,,
DE Bay  , Delaware Bay-Deep,,,,,,,,,,,
Little Mill Creek  , Little Mill Creek,,,,,,,,,,,
Christina River near Conrail Bridge , Middle Christina River, Upper Christina River,Lower Christina River,,,,,,,,,
Brandywine Creek  , Middle Brandywine Creek,Upper Brandywine Creek,Lower Brandywine Creek,,,,,,,,,
Christina River  , Middle Christina River, Upper Christina River,Lower Christina River,,,,,,,,,
Red Clay Creek  , Red Clay Creek,,,,,,,,,,,
White Clay Creek  , Upper White Clay Creek, West Branch White Clay Creek, Middle Branch White Clay Creek,East Branch White Clay Creek,Lower White Clay Creek,,,,,,,
Burroughs Run , ,,,,,,,,,,,
Smalleys Dam Spillway   , ,,,,,,,,,,,
Naaman Creek S. Branch  , ,,,,,,,,,,,
Drawyer Creek off Rt. 13  ,Drawyer Creek-Appoquinimink River,,,,,,,,,,,
Shallcross Lake  , ,,,,,,,,,,,
Naaman Creek ,,,,,,,,,,,,
Deep Creek Branch  ,Deep Creek-The Thorofare,Upper Deep Creek,Lower Deep Creek,,,,,,,,,
Noxontown Pond ,,,,,,,,,,,,
Naaman Creek South Branch  ,,,,,,,,,,,,
Appoquinimink River , Drawyer Creek-Appoquinimink River,,,,,,,,,,,
Shellpot Creek  , Matson Run-Shellpot Creek,,,,,,,,,,,
Little River  , Little River-Delaware Bay,,,,,,,,,,,
Leipsic River  , Upper Leipsic River,,,,,,,,,,,
Garrisons Lake ,,,,,,,,,,,,
Mill Creek  , Mill Creek,,,,,,,,,,,
Providence Creek ,,,,,,,,,,,,
Mill Creek (Lake Como outfall)  , Ironworks Creek-Mill Creek, Mill Creek-Furnace Bay, Mill Creek-Miles Creek,,,,,,,,,
Smyrna River ,,,,,,,,,,,,
Blackbird Creek  ,,,,,,,,,,,,
DucK Creek  ,  Duck Creek,,,,,,,,,,,
Pemberton Branch ,,,,,,,,,,,,
Savannah Ditch  ,,,,,,,,,,,,
Ingram Branch  ,,,,,,,,,,,,
Beaverdam Branch  , Beaverdam Creek-Broadkill River,,,,,,,,,,,
Beaverdam Creek  , Beaverdam Creek-Broadkill River,,,,,,,,,,,
Abbotts Pond  , ,,,,,,,,,,,
Silver Lake ,,,,,,,,,,,,
Round Pole Branch  , Round Pole Branch-Broadkill River,,,,,,,,,,,
Broadkill River  , Canary Creek-Broadkill River, Beaverdam Creek-Broadkill River,Round Pole Branch-Broadkill River,,,,,,,,,
Mispillion River  , Middle Mispillion River, Upper Mispillion River,,,,,,,,,,
Red Mill Pond , ,,,,,,,,,,,
Broadkill River 0.10 Miles From Mouth , Canary Creek-Broadkill River, Beaverdam Creek-Broadkill River,Round Pole Branch-Broadkill River,,,,,,,,,
Cedar Creek  , Lower Cedar Creek, Upper Cedar Creek,,,,,,,,,,
Swiggetts Pond  ,,,,,,,,,,,,
Waples Pond  ,,,,,,,,,,,,
Clear Brook  , Clear Brook-Nanticoke River,,,,,,,,,,,
Bucks Branch ,,,,,,,,,,,,
Raccoon Prong  , Raccoon Creek,,,,,,,,,,,
Williams Pond  , Williams Creek-Choptank River,,,,,,,,,,,
Hitch Pond Branch , Hitch Pond Branch,,,,,,,,,,,
Nanticoke River  , Wetipquin Creek-Nanticoke River,Barren Creek-Nanticoke River,Butler Mill Branch-Nanticoke River, Headwaters Nanticoke River, Clear Brook-Nanticoke River, Gales Creek-Nanticoke River, Chicone Creek-Nanticoke River,,,,,
Concord Pond  ,,,,,,,,,,,,
Horsey Pond  ,,,,,,,,,,,,
Deep Creek  , Deep Creek-The Thorofare, Upper Deep Creek,Lower Deep Creek,,,,,,,,,
Records Pond ,,,,,,,,,,,,
Gravelly Branch  , Gravelly Branch,,,,,,,,,,,
Broad Creek  , Broad Creek-Choptank River,Broad Creek-Manokin River, Tussocky Branch-Broad Creek,,,,,,,,,
St. Jones River  , Lower Saint Jones River, Upper Saint Jones River,,,,,,,,,,
Derby Pond  ,,,,,,,,,,,,
Moores Lake  ,,,,,,,,,,,,
Pocomoke River , Cypress Swamp-Pocomoke River,Purnell Branch-Pocomoke River,Bullbegger Creek-Pocomoke River,Careytown Branch-Pocomoke River,Old Mill Branch-Pocomoke River,Whaleyville Branch-Pocomoke River,Ninepin Branch-Pocomoke River ,,,,,
