"staid","year","fertTN","manureTN","fertTP","manureTP"
"01487000",1985,705587.7635,1517718.4429,139998.9824,459242.4508
"01487000",1986,561627.7886,1574395.2015,97385.0393,475357.4433
"01487000",1987,533313.9013,1628457.1023,88032.629,491472.436
"01487000",1988,510776.1748,1599302.9362,82115.6029,483328.8414
"01487000",1989,569410.8979,1572175.2828,90625.66,475185.2476
"01487000",1990,711586.5842,1545047.6357,109412.2365,467041.6532
"01487000",1991,719770.7914,1518508.2227,109728.2004,458898.0593
"01487000",1992,752830.1887,1488765.819,117279.4442,450754.4651
"01487000",1993,680322.0765,1463793.6567,101588.443,442487.0886
"01487000",1994,690538.7754,1441436.4666,105968.5594,434219.7129
"01487000",1995,729140.2995,1416464.3013,106222.3776,425952.337
"01487000",1996,790245.2188,1390903.8976,111753.5642,417684.9608
"01487000",1997,834392.1933,1365931.7321,140819.3755,409417.5847
"01487000",1998,687490.7216,1429538.6228,114237.1502,426944.0573
"01487000",1999,798184.8586,1489942.3013,148559.5243,444470.5295
"01487000",2000,774378.3456,1550345.9756,101934.3916,461997.0022
"01487000",2001,684158.4271,1610749.6519,72240.9734,479523.4746
"01487000",2002,805438.833,1671153.3264,80137.3042,497049.9467
"01487000",2003,630486.8436,1717563.9247,67103.276,510629.1283
"01487000",2004,563831.6657,1760771.5299,47983.1926,524208.3094
"01487000",2005,631555.0767,1807182.1269,61833.6404,537787.4905
"01487000",2006,602707.5957,1853592.8345,53922.3588,551366.6713
"01487000",2007,779644.416,1896800.4367,65007.5997,564945.8529
"01487000",2008,905094.7227,1832017.0668,63101.5319,544970.7656
"01487000",2009,820579.741,1764030.7024,55766.0691,524995.6796
"01487000",2010,967100.1573,1696632.6892,159546.4759,505020.5926
"01487000",2011,896868.9978,1631261.1892,63046.095,485045.5061
"01487000",2012,800905.9158,1563862.9553,52449.8364,465070.4191
"01488500",1985,526518.6178,251565.1215,104469.0748,67483.7802
"01488500",1986,572979.2316,258243.8294,99337.2595,69453.8683
"01488500",1987,546924.0763,264922.5603,90366.4534,71423.9566
"01488500",1988,505466.4517,233755.1956,81292.1104,61968.5974
"01488500",1989,543933.7889,200361.5859,86514.779,52513.2374
"01488500",1990,651755.0792,166968,100316.2081,43057.8783
"01488500",1991,637301.7792,135800.6348,97161.453,33602.5186
"01488500",1992,639076.9065,102407.037,99684.5698,24147.159
"01488500",1993,569812.9151,106859.524,85426.4236,24854.7398
"01488500",1994,570284.5602,111312,87547.4522,25562.3212
"01488500",1995,594463.6889,115764.476,87019.9298,26269.9023
"01488500",1996,636060.8206,117990.7199,90011.4187,26977.4838
"01488500",1997,662694.0549,122443.1956,111949.2625,27685.0652
"01488500",1998,541855.0692,115764.476,89984.8762,25418.2199
"01488500",1999,625872.7751,106859.524,115963.6676,23151.3747
"01488500",2000,599698.272,97954.5603,79270.5607,20884.53
"01488500",2001,527945.4071,89049.6034,56326.0478,18617.6851
"01488500",2002,612317.4059,80144.64,61275.3389,16350.84
"01488500",2003,481162.1832,146931.8409,51375.5564,36491.2135
"01488500",2004,432559.3574,211492.8044,37149.3005,56631.5869
"01488500",2005,490055.7157,278280,48156.8212,76771.96
"01488500",2006,469478.3699,345067.1956,41997.7625,96912.3335
"01488500",2007,508434.0421,409628.1464,42705.8004,117052.707
"01488500",2008,572829.7831,411854.3907,40233.0691,117504.5633
"01488500",2009,510072.1774,411854.3907,34527.8292,117956.4195
"01488500",2010,582782.7659,414080.6348,95672.8015,118408.276
"01488500",2011,535832.0404,414080.6348,37886.1524,118860.1318
"01488500",2012,471923.2831,416306.8785,31310.6683,119311.9886
"01491000",1985,1230158.0723,397650.243,270064.293,110524.1061
"01491000",1986,1247882.2137,411799.6626,256474.1365,114739.6839
"01491000",1987,1180730.474,425929.4147,246712.0905,118955.2615
"01491000",1988,1127369.6681,386528.7485,236374.3873,107128.5236
"01491000",1989,1156041.8527,345322.2379,202868.4286,95301.7855
"01491000",1990,1302369,304135.4725,236164.5346,83475.0477
"01491000",1991,1393346.2538,265229.9066,258704.5355,71648.3085
"01491000",1992,1506591.1294,224043.1188,261010.1695,59821.5714
"01491000",1993,1308247.8661,227635.1137,219780.5682,60249.9882
"01491000",1994,1291797.8649,230712.2975,238574.6843,60678.4076
"01491000",1995,1417889.8338,234304.2818,232497.0177,61106.826
"01491000",1996,1455042.0802,235595.3446,235791.3646,61535.2429
"01491000",1997,1512845.6876,239187.3289,277338.0464,61963.6612
"01491000",1998,1256698.6232,240521.3018,225366.2193,61869.6308
"01491000",1999,1334383.3967,239019.8522,247271.8045,61775.5995
"01491000",2000,1614710.0176,237518.3699,244685.7916,61681.5689
"01491000",2001,1256969.3788,236531.6948,161563.0152,61587.5371
"01491000",2002,1383383.4638,235030.2348,171074.7372,61493.5062
"01491000",2003,1045509.5668,309659.7631,123004.3136,84043.6196
"01491000",2004,1195433.7936,382522.8544,106462.7156,106593.7335
"01491000",2005,1260809.1424,457152.3894,121981.5878,129143.8468
"01491000",2006,1055585.8104,531781.9126,99126.1441,151693.9603
