OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402009-020-SPM-002-Water,Quality Control Sample-Field Blank,Water,Surface Water,2024-02-27,07:47:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-304371,Clear BrooK @ Cannon Rd. (Rt. 18),,,,,38.6950540000,-75.6019900000,Water Bottle,21DELAWQ_WQX,Grab Sample Collected With A Water Bottle,,Water Bottle,STORET-1013893783,Not Detected,as P,Soluble Reactive Phosphorus (SRP),"Filtered, field",,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,Delaware DNREC Environmental Laboratory,2024-02-28,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402009-020-SPM-002-Water/results/1013893783/resdetectqntlmts,Sample Detection Limit,0.004,mg/L,,2024-03-28T14:22:32,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401026-005-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-30,09:59:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-207111,White Marsh Br. @ Cedar Grove Church Rd. (Rd. 268),,,,,38.9789780000,-75.7256780000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890871,,as P,"Total Phosphorus, mixed forms",Unfiltered,0.110,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-02-02,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401026-005-SPM-002-Water/results/1013890871/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:18:57,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402009-013-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-02-27,08:19:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-304321,Williams Pond @ East Poplar St.,,,,,38.6430200000,-75.6054300000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013893541,,as N,Nitrate + Nitrite,Unfiltered,7.26,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,Delaware DNREC Environmental Laboratory,2024-02-29,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402009-013-SPM-004-Water/results/1013893541/resdetectqntlmts,Lower Quantitation Limit,0.150,mg/L,,2024-03-28T14:22:14,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401001-007-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-09,10:05:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-103061,Burroughs Run @ Creek Rd. (Rt. 82),,,,,39.7988690000,-75.6484140000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013889120,,as P,"Total Phosphorus, mixed forms",Unfiltered,0.022,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-01-12,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401001-007-SPM-002-Water/results/1013889120/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:16:44,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401016-010-SPM-002-Water,Quality Control Sample-Field Blank,Water,Surface Water,2024-01-17,09:01:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-208021,Mispillion River @ Rt. 1,,,,,38.9175240000,-75.4022380000,Water Bottle,21DELAWQ_WQX,Grab Sample Collected With A Water Bottle,,Water Bottle,STORET-1013890428,Not Detected,as N,"Total Nitrogen, mixed forms",Unfiltered,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-01-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401016-010-SPM-002-Water/results/1013890428/resdetectqntlmts,Sample Detection Limit,0.044,mg/L,,2024-03-28T14:18:19,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401027-001-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-31,07:25:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-205011,"St. Jones River @ mouth, Bowers Beach",,,,,39.0661110000,-75.4005550000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890940,,as N,"Total Nitrogen, mixed forms","Filtered, field",1.57,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-02-02,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401027-001-SPM-002-Water/results/1013890940/resdetectqntlmts,Lower Quantitation Limit,0.100,mg/L,,2024-03-28T14:19:04,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401017-008-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-17,11:05:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-303051,Red Mill Pond @ Rt. 1,,,,,38.7600410000,-75.2030280000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890641,Not Detected,as P,Soluble Reactive Phosphorus (SRP),"Filtered, field",,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,Delaware DNREC Environmental Laboratory,2024-01-18,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401017-008-SPM-002-Water/results/1013890641/resdetectqntlmts,Sample Detection Limit,0.004,mg/L,,2024-03-28T14:18:37,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402007-009-SPM-002-Water,Quality Control Sample-Field Replicate,Water,Surface Water,2024-02-21,09:25:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-208021,Mispillion River @ Rt. 1,,,,,38.9175240000,-75.4022380000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013893099,,as P,"Total Phosphorus, mixed forms",Unfiltered,0.022,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-02-29,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402007-009-SPM-002-Water/results/1013893099/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:21:43,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401016-003-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-01-17,08:19:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-208211,Silver Lake @ Maple Ave.,,,,,38.9112600000,-75.4329960000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890248,,as N,Nitrate + Nitrite,Unfiltered,3.65,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,Delaware DNREC Environmental Laboratory,2024-01-22,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401016-003-SPM-004-Water/results/1013890248/resdetectqntlmts,Lower Quantitation Limit,0.030,mg/L,,2024-03-28T14:18:03,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401029-005-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-02-06,09:49:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-103031,Red Clay Creek @ Lancaster Pike (Rt. 48) (USGS gage 01480000),,,,,39.7628780000,-75.6365780000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013891341,Not Detected,as N,Ammonia,Unfiltered,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,Delaware DNREC Environmental Laboratory,2024-02-13,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401029-005-SPM-004-Water/results/1013891341/resdetectqntlmts,Sample Detection Limit,0.010,mg/L,,2024-03-28T14:19:31,STORET
