station_id,timestamp,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units,ph_result_type,ph_detection_condition,ph_value,ph_units,do_result_type,do_detection_condition,do_value,do_units,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,tss_result_type,tss_detection_condition,tss_value,tss_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units
21DELAWQ_WQX-101021,2000-08-15 09:07:00,Actual,Detected,18.9,Deg C.,Actual,Detected,7.6,ph,Actual,Detected,8.39,mg/l,Actual,Detected,0.1,ppt,Actual,Detected,0.07,mg/l,Actual,Not Detected,0.5,ug/l,Actual,Detected,1700,cfu/100 ml,Actual,Detected,8,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2000-05-23 09:09:00,Actual,Detected,13.9,Deg C.,Actual,Detected,8,ph,Actual,Detected,9.32,mg/l,Actual,Detected,0.1,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,3,ug/l,Actual,Detected,530,cfu/100 ml,Actual,Detected,2,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2000-04-25 09:10:00,Actual,Detected,11.9,Deg C.,Actual,Detected,7.5,ph,Actual,Detected,10.38,mg/l,Actual,Detected,0.2,ppt,Actual,Detected,0.03,mg/l,Actual,Not Detected,0.5,ug/l,Actual,Detected,70,cfu/100 ml,Actual,Detected,4,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2000-10-10 12:10:00,Actual,Detected,9.2,Deg C.,Actual,Detected,7.9,ph,Actual,Detected,12.17,mg/l,Actual,Detected,0.2,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,5.34,ug/l,Actual,Detected,87,cfu/100 ml,Actual,Not Detected,0.5,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2001-04-16 09:51:00,Actual,Detected,11.1,Deg C.,Actual,Detected,6.4,ph,Actual,Detected,11.12,mg/l,Actual,Detected,0.1,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,5,ug/l,Actual,Detected,520,cfu/100 ml,Actual,Detected,4,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2001-10-31 09:34:00,Actual,Detected,8.5,Deg C.,NA,NA,NA,NA,Actual,Detected,10.19,mg/l,Actual,Detected,0.2,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,1,ug/l,Actual,Detected,87,cfu/100 ml,Actual,Detected,24,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2001-06-11 09:13:00,Actual,Detected,17.7,Deg C.,Actual,Detected,6.5,ph,Actual,Detected,6.49,mg/l,Actual,Detected,0.1,ppt,Actual,Detected,0.09,mg/l,Actual,Not Detected,0.5,ug/l,Actual,Detected,143,cfu/100 ml,Actual,Detected,19,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2001-08-07 09:13:00,Actual,Detected,23.9,Deg C.,Actual,Detected,7.3,ph,Actual,Detected,6.32,mg/l,Actual,Detected,0.2,ppt,Actual,Detected,0.07,mg/l,Actual,Not Detected,0.5,ug/l,Actual,Detected,967,cfu/100 ml,Actual,Detected,3,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2002-04-24 08:49:00,Actual,Detected,9.29,Deg C.,Actual,Detected,7.3,ph,Actual,Detected,7.21,mg/l,Actual,Detected,0.16,ppt,Actual,Detected,0.05,mg/l,Actual,Detected,2,ug/l,Actual,Detected,90,cfu/100 ml,Actual,Detected,2,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2002-08-07 10:02:00,Actual,Detected,21.12,Deg C.,Actual,Detected,7.6,ph,Actual,Detected,7.05,mg/l,Actual,Detected,0.19,ppt,Actual,Detected,0.29,mg/l,Actual,Detected,25,ug/l,Actual,Detected,380,cfu/100 ml,Actual,Detected,135,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2002-11-13 12:03:00,Actual,Detected,11.22,Deg C.,Actual,Detected,7.07,ph,Actual,Detected,3.1,mg/l,Actual,Detected,0.44,ppt,Actual,Detected,0.08,mg/l,Actual,Not Detected,0.3,ug/l,Actual,Detected,1230,cfu/100 ml,Estimated,Detected,4,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2002-06-17 08:47:00,Actual,Detected,17.42,Deg C.,Actual,Detected,6.81,ph,Actual,Detected,7.57,mg/l,Actual,Detected,0.14,ppt,Actual,Detected,0.08,mg/l,Estimated,Detected,1,ug/l,Actual,Detected,147,cfu/100 ml,Actual,Detected,5,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2003-04-22 09:57:00,Actual,Detected,12.86,Deg C.,Actual,Detected,7.58,ph,Actual,Detected,11.27,mg/l,Actual,Detected,0.16,ppt,Actual,Detected,0.1,mg/l,Estimated,Detected,2.7,ug/l,Actual,Detected,60,cfu/100 ml,Estimated,Detected,4,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2003-11-05 09:06:00,Actual,Detected,15.32,Deg C.,Actual,Detected,6.89,ph,Actual,Detected,5.77,mg/l,Actual,Detected,0.13,ppt,Actual,Detected,0.08,mg/l,Actual,Detected,20.3,ug/l,Actual,Detected,833,cfu/100 ml,Actual,Detected,29,mg/l,NA,NA,NA,NA
