station_id,timestamp,tss_result_type,tss_detection_condition,tss_value,tss_units,do_result_type,do_detection_condition,do_value,do_units,ph_result_type,ph_detection_condition,ph_value,ph_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units
21DELAWQ_WQX-109251,2010-03-16 09:05:00,Actual,Detected,7,mg/l,Actual,Detected,10.38,mg/l,Actual,Detected,7.19,ph,Actual,Detected,4.91,ug/l,Actual,Detected,2.89,mg/l,Actual,Detected,63,cfu/100 ml,Actual,Detected,0.27,ppt,Actual,Detected,9.68,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2010-09-30 10:55:00,Actual,Detected,31,mg/l,Actual,Detected,9.72,mg/l,Actual,Detected,7.26,ph,Actual,Detected,20.3,ug/l,Actual,Detected,1.75,mg/l,Actual,Detected,11000,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,20.98,Deg C.,Actual,Detected,0.15,mg/l
21DELAWQ_WQX-109251,2010-08-03 09:04:00,Actual,Detected,2,mg/l,Actual,Detected,7.39,mg/l,Actual,Detected,7.65,ph,Actual,Detected,0.81,ug/l,Actual,Detected,4.57,mg/l,Actual,Detected,1670,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,18.41,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2010-09-13 10:36:00,Actual,Detected,3,mg/l,Actual,Detected,9.06,mg/l,Actual,Detected,8.12,ph,Actual,Detected,2.72,ug/l,Actual,Detected,4.28,mg/l,Actual,Detected,350,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,16.86,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2010-06-08 09:29:00,Actual,Detected,3,mg/l,Actual,Detected,8.11,mg/l,Actual,Detected,7.77,ph,Actual,Detected,0.54,ug/l,Actual,Detected,4.78,mg/l,Actual,Detected,470,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,15.99,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2010-10-06 09:43:00,Actual,Detected,5,mg/l,Actual,Detected,5.46,mg/l,Actual,Detected,7.09,ph,Actual,Detected,2.43,ug/l,Actual,Detected,2.15,mg/l,Actual,Detected,500,cfu/100 ml,Actual,Not Detected,0.05,ppt,Actual,Detected,15.72,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2010-11-22 09:38:00,Actual,Detected,4,mg/l,Actual,Detected,7.44,mg/l,Actual,Detected,8.4,ph,Actual,Detected,1.21,ug/l,Actual,Detected,3.97,mg/l,Actual,Detected,140,cfu/100 ml,Actual,Detected,0.29,ppt,Actual,Detected,11.69,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2010-05-10 09:56:00,Actual,Detected,3,mg/l,Actual,Detected,8.4,mg/l,Actual,Detected,8.32,ph,Actual,Detected,0.5,ug/l,Actual,Detected,5.23,mg/l,Actual,Detected,300,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,12.08,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2010-07-12 10:26:00,Actual,Not Detected,0.5,mg/l,Actual,Detected,8.38,mg/l,Actual,Detected,8.07,ph,Actual,Detected,2,ug/l,Actual,Detected,3.84,mg/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.18,ppt,Actual,Detected,20.15,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2010-01-06 10:17:00,Actual,Detected,2,mg/l,Actual,Detected,11.81,mg/l,Actual,Detected,7.78,ph,Actual,Detected,0.43,ug/l,Actual,Detected,4.55,mg/l,Actual,Detected,17,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,5.56,Deg C.,Actual,Detected,0.03,mg/l
