station_id,timestamp,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units,ph_result_type,ph_detection_condition,ph_value,ph_units,do_result_type,do_detection_condition,do_value,do_units,tss_result_type,tss_detection_condition,tss_value,tss_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units
21DELAWQ_WQX-114051,2015-11-03 09:30:00,Actual,Detected,0.19,ppt,Actual,Detected,922,cfu/100 ml,Actual,Detected,0.61,ug/l,Actual,Detected,0.47,mg/l,Actual,Detected,2.63,mg/l,Actual,Detected,6.45,ph,Actual,Detected,9.76,mg/l,Actual,Detected,42,mg/l,Actual,Detected,14.3,Deg C.
21DELAWQ_WQX-114051,2016-01-05 09:44:00,Actual,Detected,0.23,ppt,Actual,Detected,615,cfu/100 ml,Actual,Detected,0.23,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.37,mg/l,Actual,Detected,7.55,ph,Actual,Detected,13.14,mg/l,Actual,Detected,3,mg/l,Actual,Detected,3.42,Deg C.
21DELAWQ_WQX-114051,2016-03-02 09:18:00,Actual,Detected,0.14,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.74,ug/l,Actual,Detected,0.05,mg/l,Actual,Detected,1.25,mg/l,Actual,Detected,7.73,ph,Actual,Detected,11.49,mg/l,Actual,Detected,11,mg/l,Actual,Detected,7.32,Deg C.
21DELAWQ_WQX-114051,2016-10-03 09:56:00,Actual,Detected,0.24,ppt,Actual,Detected,576,cfu/100 ml,Actual,Detected,2.8,ug/l,Actual,Detected,0.04,mg/l,Actual,Detected,1.53,mg/l,Actual,Detected,6.75,ph,Actual,Detected,10.32,mg/l,Actual,Detected,62,mg/l,Actual,Detected,18.83,Deg C.
21DELAWQ_WQX-114051,2016-05-04 09:34:00,Actual,Detected,0.19,ppt,Actual,Detected,1230,cfu/100 ml,Actual,Detected,8.79,ug/l,Actual,Detected,0.1,mg/l,Actual,Detected,1.4,mg/l,Actual,Detected,6.8,ph,Actual,Detected,9.76,mg/l,Actual,Detected,63,mg/l,Actual,Detected,12.62,Deg C.
21DELAWQ_WQX-114051,2016-11-02 09:39:00,Actual,Detected,0.24,ppt,Actual,Detected,65,cfu/100 ml,Actual,Detected,0.52,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.06,mg/l,Actual,Detected,7.03,ph,Actual,Detected,8.42,mg/l,Actual,Detected,4,mg/l,Actual,Detected,13.64,Deg C.
21DELAWQ_WQX-114051,2016-12-01 09:21:00,Actual,Detected,0.14,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.93,ug/l,Actual,Detected,0.1,mg/l,Actual,Detected,1.01,mg/l,Actual,Detected,7.73,ph,Actual,Detected,9.16,mg/l,Actual,Detected,17.8,mg/l,Actual,Detected,12.11,Deg C.
21DELAWQ_WQX-114051,2017-12-04 09:26:00,Actual,Detected,0.24,ppt,Actual,Detected,122,cfu/100 ml,Actual,Detected,1.04,ug/l,Actual,Detected,0.03,mg/l,Actual,Detected,0.55,mg/l,Actual,Detected,6.84,ph,Actual,Detected,8.93,mg/l,Actual,Detected,7.9,mg/l,Actual,Detected,8.31,Deg C.
21DELAWQ_WQX-114051,2017-11-13 09:02:00,Actual,Detected,0.12,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.37,ug/l,Actual,Detected,0.16,mg/l,Actual,Detected,1.18,mg/l,Actual,Detected,6.8,ph,Actual,Detected,9.68,mg/l,Actual,Detected,12,mg/l,Actual,Detected,8.91,Deg C.
21DELAWQ_WQX-114051,2017-06-05 09:37:00,Actual,Detected,0.23,ppt,Actual,Detected,1160,cfu/100 ml,Actual,Detected,41.7,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.42,mg/l,Actual,Detected,6.62,ph,Actual,Detected,7.43,mg/l,Estimated,Detected,2.1,mg/l,Actual,Detected,18.12,Deg C.
