OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,DE002-383346075340301,Qd21-42,Well,,02080109,,,,,38.56289288000000,-75.5671472000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19891026,100,ft,105,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,DE002-390703075371801,Jc33-12,Well,,02040207,,,,,39.11750000000000,-75.6216667000000,,Unknown,Unknown,Differentially corrected Global Positioning System.,NAD83,,,,,,,US,10,001,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19941114,79,ft,79,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01477400,"SOUTH BRANCH NAAMAN CREEK NEAR CLAYMONT, DE",Stream,,02040202,3.83,sq mi,,,39.81677919000000,-75.4940872000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01477850,"CHRISTINA RIVER NEAR NEWARK, DE",Stream,,02040205,3.76,sq mi,,,39.70066687000000,-75.7879923800000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01477860,"WEST BRANCH CHRISTINA RIVER NEAR NEWARK, DE",Stream,,02040205,4.10,sq mi,,,39.65566710000000,-75.7829918000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01477875,"CHRISTINA RIVER AT HUNTING HILLS NEWARK, DE",Stream,,02040205,,,,,39.69011140000000,-75.7777140000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01477960,"CHRISTINA RIVER AT ROLLING GREEN NEWARK, DE",Stream,,02040205,,,,,39.65372260000000,-75.7546572000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01478000,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",Stream,,02040205,20.5,sq mi,,,39.63738889000000,-75.7278888900000,24000,1,seconds,Interpolated from MAP.,NAD83,24.52,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01478500,"WHITE CLAY CREEK ABOVE NEWARK, DE",Stream,,02040205,66.70,sq mi,,,39.71400027000000,-75.7593801000000,24000,1,seconds,Interpolated from MAP.,NAD83,78.60,feet,.01,feet,Level or other surveyed method.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01478650,"WHITE CLAY CREEK AT NEWARK, DE",Stream,,02040205,69.0,sq mi,,,39.68922220000000,-75.7487500000000,24000,1,seconds,Interpolated from MAP.,NAD83,55.31,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01478700,"WHITE CLAY CREEK BELOW NEWARK, DE",Stream,,02040205,,,,,39.69261168000000,-75.7227112000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01478880,"WHITE CLAY CREEK TRIBUTARY NEAR NEWARK, DE",Stream,,02040205,,,,,39.68372290000000,-75.7099326000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01479000,"WHITE CLAY CREEK NEAR NEWARK, DE",Stream,,02040205,89.1,sq mi,,,39.69922220000000,-75.6750277800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,7.86,feet,.01,feet,Level or other surveyed method.,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01479175,"MILL CREEK TRIBUTARY AT HOCKESSIN, DE",Stream,,02040205,0.16,sq mi,,,39.79427775000000,-75.6974337000000,24000,1,seconds,Interpolated from MAP.,NAD83,280,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01479189,"MILL CREEK AT MILL CREEK, DE",Stream,,02040205,,,,,39.78900005000000,-75.6999337000000,24000,1,seconds,Interpolated from MAP.,NAD83,260.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01479191,"MILL CREEK AT EVANSON ROAD AT HOCKESSIN, DE",Stream,,02040205,,,,,39.78288900000000,-75.7016003000000,24000,1,seconds,Interpolated from MAP.,NAD83,240,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01479193,"MILL CREEK TRIBUTARY NEAR HOCKESSIN, DE",Stream,,02040205,,,,,39.77483350000000,-75.7146564000000,24000,1,seconds,Interpolated from MAP.,NAD83,273,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01479195,"TRIBUTARY TO MILL CREEK TRIBUTARY AT HOCKESSIN, DE",Stream,,02040205,,,,,39.78177789000000,-75.7077117000000,24000,1,seconds,Interpolated from MAP.,NAD83,250,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01479197,"MILL CREEK AT MILL CREEK ROAD AT HOCKESSIN, DE",Stream,,02040205,3.66,sq mi,3.54,sq mi,39.78038910000000,-75.6968776000000,24000,1,seconds,Interpolated from MAP.,NAD83,210,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01479500,"MILL CREEK AT STANTON, DE",Stream,,02040205,12.40,sq mi,,,39.71400106000000,-75.6663189000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01479955,"RED CLAY CREEK AT ASHLAND, DE",Stream,,02040205,,,,,39.79872249000000,-75.6579868000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01480000,"RED CLAY CREEK AT WOODDALE, DE",Stream,,02040205,47.0,sq mi,,,39.76280556000000,-75.6365000000000,24000,1,seconds,Interpolated from MAP.,NAD83,80.34,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01480015,"RED CLAY CREEK NEAR STANTON, DE",Stream,,02040205,52.4,sq mi,,,39.71575000000000,-75.6399444000000,,1,seconds,Interpolated from MAP.,NAD83,-1.12,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01480019,"RED CLAY CREEK AT STANTON, DE",Stream,,02040205,,,,,39.70955680000000,-75.6435397000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01480095,"LITTLE MILL CREEK NEAR NEWPORT, DE",Stream,,02040205,5.24,sq mi,,,39.73177945000000,-75.6035372000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01481280,"BRANDYWINE CREEK AT SMITH BRIDGE, DE",Stream,,02040205,,,,,39.83677800000000,-75.5790936000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01481490,"BRANDYWINE CREEK AT HAGLEY MUSEUM WILMINGTON, DE",Stream,,02040205,,,,,39.77316820000000,-75.5771472000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",Stream,,02040205,314,sq mi,,,39.76950000000000,-75.5766944000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,67.17,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01481550,"BRANDYWINE CR BELOW ALAPOCAS RUN AT WILMINGTON, DE",Stream,,02040205,,,,,39.75289110000000,-75.5490892000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01482298,"RED LION CREEK NEAR RED LION, DE",Stream,,02040205,3.08,sq mi,,,39.60455646000000,-75.6679856000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01482300,"RED LION CREEK AT RED LION, DE",Stream,,02040205,3.20,sq mi,,,39.60566758000000,-75.6649298000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01482310,"DOLL RUN AT RED LION, DE",Stream,,02040205,1.07,sq mi,,,39.59816759000000,-75.6615963000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01482320,"RED LION CREEK NEAR DELAWARE CITY, DE",Estuary,,02040205,,,,,39.60520000000000,-75.6300167000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,0.00,feet,.1,feet,Level or other surveyed method.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483150,"WIGGINS MILLPOND OUTLET AT TOWNSEND, DE",Stream,,02040205,3.82,sq mi,,,39.40344486000000,-75.7040978000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483151,"WIGGINS MILLPOND OUT NEAR TOWNSEND, DE",Stream,,02040205,,,,,39.40816709000000,-75.7038200000000,24000,1,seconds,Interpolated from MAP.,NAD83,5,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483170,"DOVE NEST BRANCH NEAR ODESSA, DE",Stream,,02040205,4.68,sq mi,,,39.46261110000000,-75.6877222000000,24000,1,seconds,Interpolated from MAP.,NAD83,2.21,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483200,"BLACKBIRD CREEK AT BLACKBIRD, DE",Stream,,02040205,4.06,sq mi,,,39.36627778000000,-75.6693888900000,,1,seconds,Interpolated from MAP.,NAD83,17.11,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483300,"PROVIDENCE CREEK AT CLAYTON, DE",Stream,,02040207,11.80,sq mi,,,39.30150040000000,-75.6407619000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483348,"MILL CREEK NEAR SMYRNA, DE",Stream,,02040207,,,,,39.27650044000000,-75.6243723000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
