station_id,timestamp,ph_result_type,ph_detection_condition,ph_value,ph_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,do_result_type,do_detection_condition,do_value,do_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,tss_result_type,tss_detection_condition,tss_value,tss_units,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units
21DELAWQ_WQX-304681,2010-10-11 11:12:00,Actual,Detected,6.3,ph,Actual,Detected,0.03,mg/l,Actual,Detected,17.4,Deg C.,Actual,Detected,1.16,ug/l,Actual,Detected,7.18,mg/l,Actual,Detected,50,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.59,mg/l
21DELAWQ_WQX-304681,2010-11-08 10:52:00,Actual,Detected,6.52,ph,Actual,Detected,0.04,mg/l,Actual,Detected,9.69,Deg C.,Actual,Detected,12.2,ug/l,Actual,Detected,9.8,mg/l,Actual,Not Detected,1.5,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.3,mg/l
21DELAWQ_WQX-304681,2010-04-12 09:43:00,Actual,Detected,6.75,ph,Actual,Detected,0.04,mg/l,Actual,Detected,13.46,Deg C.,Actual,Detected,3.01,ug/l,Actual,Detected,8.48,mg/l,Actual,Detected,3,cfu/100 ml,Actual,Detected,7,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.98,mg/l
21DELAWQ_WQX-304681,2010-03-15 10:54:00,Actual,Detected,6.53,ph,Actual,Detected,0.13,mg/l,Actual,Detected,10.08,Deg C.,Actual,Detected,6.28,ug/l,Actual,Detected,8.3,mg/l,Actual,Detected,103,cfu/100 ml,Actual,Detected,15,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,2.81,mg/l
21DELAWQ_WQX-304681,2010-07-21 11:21:00,Actual,Detected,6.31,ph,Actual,Detected,0.03,mg/l,Actual,Detected,24.75,Deg C.,Actual,Detected,22.5,ug/l,Actual,Detected,8.79,mg/l,Actual,Detected,20,cfu/100 ml,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.49,mg/l
21DELAWQ_WQX-304681,2010-09-20 11:29:00,Actual,Detected,6.73,ph,Actual,Detected,0.02,mg/l,Actual,Detected,18.83,Deg C.,Actual,Detected,2.22,ug/l,Actual,Detected,8.74,mg/l,Actual,Detected,40,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.41,mg/l
21DELAWQ_WQX-304681,2010-08-23 11:27:00,Actual,Detected,5.98,ph,Actual,Detected,0.05,mg/l,Actual,Detected,22.63,Deg C.,Actual,Detected,2.96,ug/l,Actual,Detected,6.9,mg/l,Actual,Detected,167,cfu/100 ml,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.63,mg/l
21DELAWQ_WQX-304681,2010-12-07 11:21:00,Actual,Detected,6.92,ph,Actual,Detected,0.02,mg/l,Actual,Detected,4.09,Deg C.,Actual,Detected,1.28,ug/l,Actual,Detected,11.21,mg/l,Actual,Detected,57,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,5.28,mg/l
21DELAWQ_WQX-304681,2010-01-12 11:00:00,Actual,Detected,7.62,ph,Actual,Detected,0.04,mg/l,Actual,Detected,6.77,Deg C.,Actual,Detected,0.67,ug/l,Actual,Detected,10.33,mg/l,Actual,Detected,13,cfu/100 ml,Actual,Detected,6,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.98,mg/l
21DELAWQ_WQX-304681,2010-02-15 10:59:00,Actual,Detected,7.68,ph,Actual,Detected,0.04,mg/l,Actual,Detected,4.72,Deg C.,Actual,Detected,2.26,ug/l,Actual,Detected,10.31,mg/l,Actual,Detected,90,cfu/100 ml,Actual,Detected,9,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.12,mg/l
