station_id,timestamp,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units,tss_result_type,tss_detection_condition,tss_value,tss_units,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,do_result_type,do_detection_condition,do_value,do_units,ph_result_type,ph_detection_condition,ph_value,ph_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units
21DELAWQ_WQX-308341,2010-03-08 10:25:00,Actual,Detected,0.03,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,13,cfu/100 ml,Actual,Detected,9.42,mg/l,Actual,Detected,5.88,ph,Actual,Detected,1.38,ug/l,Actual,Detected,8.7,Deg C.,Actual,Detected,2.62,mg/l
21DELAWQ_WQX-308341,2010-10-27 10:53:00,Actual,Detected,0.02,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,197,cfu/100 ml,Actual,Detected,6.75,mg/l,Actual,Detected,6.82,ph,Estimated,Detected,0.16,ug/l,Actual,Detected,17.56,Deg C.,Actual,Detected,2.43,mg/l
21DELAWQ_WQX-308341,2010-05-18 10:10:00,Actual,Detected,0.06,mg/l,Actual,Detected,18,mg/l,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,9.12,mg/l,Actual,Detected,6.06,ph,Actual,Detected,2.6,ug/l,Actual,Detected,13.28,Deg C.,Actual,Detected,2.11,mg/l
21DELAWQ_WQX-308341,2010-01-19 10:16:00,Actual,Detected,0.02,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,450,cfu/100 ml,Actual,Detected,9.19,mg/l,Actual,Detected,6.15,ph,Actual,Detected,1.48,ug/l,Actual,Detected,7.86,Deg C.,Actual,Detected,2.65,mg/l
21DELAWQ_WQX-308341,2010-12-13 11:31:00,Actual,Detected,0.02,mg/l,Actual,Detected,22,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,140,cfu/100 ml,Actual,Detected,10.19,mg/l,Actual,Detected,9.02,ph,Actual,Detected,0.56,ug/l,Actual,Detected,6.1,Deg C.,Actual,Detected,2.54,mg/l
21DELAWQ_WQX-308341,2010-09-14 10:21:00,Actual,Detected,0.02,mg/l,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,7.33,mg/l,Actual,Detected,7.03,ph,Actual,Detected,1.69,ug/l,Actual,Detected,16.16,Deg C.,Actual,Detected,2.45,mg/l
21DELAWQ_WQX-308341,2010-07-26 10:49:00,Estimated,Detected,0.02,mg/l,Estimated,Detected,1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,1400,cfu/100 ml,Actual,Detected,8.94,mg/l,Actual,Detected,8.56,ph,Actual,Detected,0.67,ug/l,Actual,Detected,17.94,Deg C.,Actual,Detected,2.32,mg/l
21DELAWQ_WQX-308341,2010-11-30 10:10:00,Actual,Detected,0.02,mg/l,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,87,cfu/100 ml,Actual,Detected,8.37,mg/l,Actual,Detected,7.49,ph,Actual,Detected,0.52,ug/l,Actual,Detected,11.16,Deg C.,Actual,Detected,2.31,mg/l
21DELAWQ_WQX-308341,2010-08-16 10:18:00,Estimated,Detected,0.02,mg/l,Actual,Detected,2,mg/l,NA,NA,NA,NA,Actual,Detected,400,cfu/100 ml,NA,NA,NA,NA,NA,NA,NA,NA,Actual,Detected,0.34,ug/l,NA,NA,NA,NA,Estimated,Detected,2.71,mg/l
21DELAWQ_WQX-308341,2011-09-19 10:22:00,Actual,Detected,0.02,mg/l,Actual,Detected,5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,200,cfu/100 ml,Actual,Detected,8.23,mg/l,Actual,Detected,6.67,ph,Actual,Detected,1.53,ug/l,Actual,Detected,15.76,Deg C.,Actual,Detected,1.66,mg/l
21DELAWQ_WQX-308341,2011-01-18 10:49:00,Actual,Detected,0.02,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,6.47,mg/l,Actual,Detected,7.34,ph,Actual,Detected,4.32,ug/l,Actual,Detected,6.36,Deg C.,Actual,Detected,2.05,mg/l
21DELAWQ_WQX-308341,2011-11-14 10:42:00,Actual,Detected,0.02,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,1370,cfu/100 ml,Actual,Detected,7.16,mg/l,Actual,Detected,6.71,ph,Actual,Detected,0.23,ug/l,Actual,Detected,13.82,Deg C.,Actual,Detected,2.08,mg/l
21DELAWQ_WQX-308341,2011-07-25 10:26:00,Actual,Detected,0.12,mg/l,Actual,Detected,94,mg/l,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,7.07,mg/l,Actual,Detected,7.92,ph,Actual,Detected,6.82,ug/l,Actual,Detected,20.66,Deg C.,Actual,Detected,3.19,mg/l
21DELAWQ_WQX-308341,2011-04-11 11:01:00,Actual,Detected,0.02,mg/l,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,280,cfu/100 ml,Actual,Detected,8.61,mg/l,Actual,Detected,6.51,ph,Actual,Detected,2.21,ug/l,Actual,Detected,14.85,Deg C.,Actual,Detected,2,mg/l
21DELAWQ_WQX-308341,2011-08-15 09:54:00,Actual,Detected,0.04,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,7.44,mg/l,Actual,Detected,7.71,ph,Actual,Detected,3.78,ug/l,Actual,Detected,19.67,Deg C.,Actual,Detected,2.06,mg/l
21DELAWQ_WQX-308341,2011-03-15 10:36:00,Actual,Detected,0.02,mg/l,Estimated,Detected,1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,270,cfu/100 ml,Actual,Detected,8.91,mg/l,Actual,Detected,6.98,ph,Actual,Detected,0.77,ug/l,Actual,Detected,8.58,Deg C.,Actual,Detected,2.11,mg/l
21DELAWQ_WQX-308341,2011-10-24 10:23:00,Actual,Detected,0.02,mg/l,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,187,cfu/100 ml,Actual,Detected,9.13,mg/l,Actual,Detected,6.76,ph,Actual,Detected,1.22,ug/l,Actual,Detected,11.32,Deg C.,Estimated,Detected,1.95,mg/l
21DELAWQ_WQX-308341,2011-02-14 10:29:00,Actual,Detected,0.02,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,330,cfu/100 ml,Actual,Detected,9.58,mg/l,Actual,Detected,7.54,ph,Actual,Detected,1.16,ug/l,Actual,Detected,8.92,Deg C.,Actual,Detected,2.36,mg/l
21DELAWQ_WQX-308341,2011-05-16 10:31:00,Actual,Detected,0.02,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,193,cfu/100 ml,Actual,Detected,8.24,mg/l,Actual,Detected,7.2,ph,Actual,Detected,0.64,ug/l,Actual,Detected,15.48,Deg C.,Actual,Detected,2.12,mg/l
21DELAWQ_WQX-308341,2011-12-12 10:31:00,Actual,Detected,0.02,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,117,cfu/100 ml,Actual,Detected,9.01,mg/l,Actual,Detected,7.03,ph,Actual,Detected,0.49,ug/l,Actual,Detected,6.99,Deg C.,Actual,Detected,2.2,mg/l
21DELAWQ_WQX-308341,2011-06-28 10:09:00,Actual,Detected,0.02,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,8.05,mg/l,Actual,Detected,8.32,ph,Actual,Detected,0.43,ug/l,Actual,Detected,18.28,Deg C.,Actual,Detected,2.11,mg/l
