OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,DE002-383346075340301,Qd21-42,Well,,02080109,,,,,38.56289288000000,-75.5671472000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19891026,100,ft,105,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,DE002-390703075371801,Jc33-12,Well,,02040207,,,,,39.11750000000000,-75.6216667000000,,Unknown,Unknown,Differentially corrected Global Positioning System.,NAD83,,,,,,,US,10,001,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19941114,79,ft,79,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-393916075401101,Intake on CHRISTINA RIVER 4651950,Facility: Diversion,,02040205,,,,,39.65472220000000,-75.6702777800000,,1,minutes,Differentially corrected Global Positioning System.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-394122075450001,Intake on WHITE CLAY CREEK 4651944,Facility: Diversion,,02040205,,,,,39.68944444000000,-75.7500000000000,,1,minutes,Interpolated from Digital MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-394225075384301,Intake on WHITE CLAY CREEK 4651374,Facility: Diversion,,02040205,,,,,39.70666667000000,-75.6452777800000,,1,minutes,Interpolated from Digital MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-394229075384301,Intake on RED CLAY CREEK 4651348,Facility: Diversion,,02040205,,,,,39.70805556000000,-75.6438888900000,,1,minutes,Interpolated from Digital MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-394504075333201,Intake on COOL SPRINGS RESERVOIR 4652144,Facility: Diversion,,02040205,,,,,39.75111110000000,-75.5588888900000,,1,minutes,Interpolated from Digital MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-394530075331801,Intake Head of Race to Brandywine Filtration Plant,Facility: Diversion,,02040205,,,,,39.75828056000000,-75.5549472000000,24000,1,minutes,Interpolated from Digital MAP.,NAD83,18,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,003,Northern Atlantic Coastal Plain aquifer system,,,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-394536075332301,Intake on BRANDYWINE RIVER 4655442,Facility: Diversion,,02040205,,,,,39.76000000000000,-75.5563888900000,,1,minutes,Differentially corrected Global Positioning System.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-394623075323501,Intake on Porter Reservoir 4655442,Facility: Diversion,,02040205,,,,,39.77305556000000,-75.5430556000000,,1,minutes,Differentially corrected Global Positioning System.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-394633075380001,Intake on HOOPES RESERVOIR 4652118,Facility: Diversion,,02040205,,,,,39.77583330000000,-75.6333333000000,,1,minutes,Interpolated from Digital MAP.,NAD83,,,,,,,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100001,Garrison Lake,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100002,"Ridgewood Manor II, Inc.",Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100003,Lynch's Mobile Home Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100004,Country Acres Mobile Home Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100005,Hunters Pointe,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100006,Cooper Farms,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100008,Woodland Manor,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100009,Camden District,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100010,Voshell's Cove,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100011,Harrington Water Dept.,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100012,Countryside Estates,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100013,Lake Forest Estates,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100014,"J and J Moble Home Park, Inc.",Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100015,Willow Tree Trailer and Mobile Home Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100016,Fisherman's Village,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100018,Hartly Trailer Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100019,Felton District,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100021,Strimel's Trailer Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100022,Kitts Hummock Improvement Assoc.,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100023,Lakeland Mobile Home Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100024,Pinewood Acres,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100025,Oak Grove Mobile Home Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100027,Hilltop Trailer Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100028,Law's Mobile Home Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100029,Camden-Wyoming Sewer and Water Auth.,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100030,Clayton Water Department,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100031,Dover Water Dept.,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100032,Grandview Trailer Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100033,"Dover Air Park, Inc.",Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100034,Maranatha Court,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100037,Dover Air Force Base,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100038,Felton Water Department,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100039,Frederica Water Department,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100040,Twin Maples Trailer Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100041,Magnolia Water Department,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100042,Granada Mobile Home Court,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100044,South Wood Acres,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100045,Milford Water Department,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100046,Smyrna Water Department,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100047,Hedgerow Hollow Trailer Park,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100048,Woodland Trailer Court,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100049,Pinnacle Rehab and Health Center,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100050,Holly Hill Estates,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USEPA-91000100051,Forest Grove Village,Facility: Water-distribution system,,,,,,,,,,,,Unknown,,,,,,,,US,10,001,,,,,,,,,,NWIS
